 "s" , "viafid" ,
 "http://data.cervantesvirtual.com/person/12022" , "http://viaf.org/viaf/90721152" ,
 "http://data.cervantesvirtual.com/person/12026" , "http://viaf.org/viaf/66489021" ,
 "http://data.cervantesvirtual.com/person/1204" , "http://viaf.org/viaf/114079" ,
 "http://data.cervantesvirtual.com/person/12068" , "http://viaf.org/viaf/49314558" ,
 "http://data.cervantesvirtual.com/person/12069" , "http://viaf.org/viaf/100010336" ,
 "http://data.cervantesvirtual.com/person/12080" , "http://viaf.org/viaf/85969721" ,
 "http://data.cervantesvirtual.com/person/12087" , "http://viaf.org/viaf/39503155" ,
 "http://data.cervantesvirtual.com/person/12088" , "http://viaf.org/viaf/46056430" ,
 "http://data.cervantesvirtual.com/person/12091" , "http://viaf.org/viaf/61624020" ,
 "http://data.cervantesvirtual.com/person/12111" , "http://viaf.org/viaf/92963273" ,
