"s","viafid"
"http://datos.bne.es/resource/XX821541","http://viaf.org/viaf/277782"
"http://datos.bne.es/resource/XX821543","http://viaf.org/viaf/305116482"
"http://datos.bne.es/resource/XX821555","http://viaf.org/viaf/87608228"
"http://datos.bne.es/resource/XX821574","http://viaf.org/viaf/87608263"
"http://datos.bne.es/resource/XX821575","http://viaf.org/viaf/108976569"
"http://datos.bne.es/resource/XX821582","http://viaf.org/viaf/87608285"
"http://datos.bne.es/resource/XX821583","http://viaf.org/viaf/87608292"
"http://datos.bne.es/resource/XX821584","http://viaf.org/viaf/90780340"
"http://datos.bne.es/resource/XX821603","http://viaf.org/viaf/87608360"
"http://datos.bne.es/resource/XX821615","http://viaf.org/viaf/70510668"
"http://datos.bne.es/resource/XX821629","http://viaf.org/viaf/87608387"
"http://datos.bne.es/resource/XX821668","http://viaf.org/viaf/107009784"
"http://datos.bne.es/resource/XX821669","http://viaf.org/viaf/87608478"
"http://datos.bne.es/resource/XX821671","http://viaf.org/viaf/87608484"
"http://datos.bne.es/resource/XX821673","http://viaf.org/viaf/87608497"
"http://datos.bne.es/resource/XX821678","http://viaf.org/viaf/232207639"
"http://datos.bne.es/resource/XX821679","http://viaf.org/viaf/87608523"
"http://datos.bne.es/resource/XX821684","http://viaf.org/viaf/40616379"
"http://datos.bne.es/resource/XX821686","http://viaf.org/viaf/29842073"
"http://datos.bne.es/resource/XX821706","http://viaf.org/viaf/225074485"
"http://datos.bne.es/resource/XX821707","http://viaf.org/viaf/30973399"
"http://datos.bne.es/resource/XX821711","http://viaf.org/viaf/34489209"
"http://datos.bne.es/resource/XX821717","http://viaf.org/viaf/54330834"
"http://datos.bne.es/resource/XX821722","http://viaf.org/viaf/87608581"
"http://datos.bne.es/resource/XX821724","http://viaf.org/viaf/72335067"
"http://datos.bne.es/resource/XX821752","http://viaf.org/viaf/74037406"
"http://datos.bne.es/resource/XX821764","http://viaf.org/viaf/64265489"
"http://datos.bne.es/resource/XX821767","http://viaf.org/viaf/1671276"
"http://datos.bne.es/resource/XX821769","http://viaf.org/viaf/87608683"
